id_leitura,data,temperatura,umidade,rotulo
L001,2026-08-01,21,52,1
L002,2026-08-02,22,55,1
L003,2026-08-03,20,48,1
L004,2026-08-04,23,57,1
L005,2026-08-05,21,51,1
L006,2026-08-06,24,60,1
L007,2026-08-07,22,53,1
L008,2026-08-08,20,50,1
L009,2026-08-09,23,56,1
L010,2026-08-10,21,54,1
L011,2026-08-11,38,18,-1
L012,2026-08-12,22,52,1
L013,2026-08-13,24,59,1
L014,2026-08-14,21,49,1
L015,2026-08-15,23,55,1
L016,2026-08-16,20,47,1
L017,2026-08-17,8,92,-1
L018,2026-08-18,22,54,1
L019,2026-08-19,24,61,1
L020,2026-08-20,35,25,1
